ListPrice,BEDS,BATHS,SQFT,LotSize,YearBuilt,Age,ParkingSpots
129500,3,1.75,1533,4791,1917,97,2
84900,2,1,940,6534,1926,88,1
39353,1,1.5,972,3920,1915,99,3
99900,2,1,1218,7405,1890,124,2
384900,4,2,2468,6098,1926,88,2
214900,3,1,1529,4791,1925,89,1
499900,4,2.25,2085,9583,1938,76,2
129850,3,1,1123,4791,1940,74,0
129850,2,1.5,1527,4356,1914,100,3
149900,4,1.5,1192,5662,1952,62,1
329900,3,2.75,1859,5227,1922,92,2
145000,3,1.75,1628,4791,1961,53,2
129500,4,1.75,1422,4791,1930,84,1
62000,2,1,728,4791,1921,93,2
76000,2,1,660,4791,1925,89,1
128000,3,1.75,1645,4791,1938,76,2
129000,2,1.75,1194,5227,1900,114,3
146900,3,2,2020,5227,1930,84,1
239900,2,1,1324,5227,2004,10,2
109900,2,1,1086,4791,1951,63,1
155900,3,1.5,1255,5227,1908,106,2
199850,2,1,826,5227,1922,92,1
1799000,5,4.25,5702,27442,1928,86,3
449900,4,1.75,2514,6098,1927,87,1
165000,3,1.75,1529,4791,1967,47,2
279000,3,1.5,1568,5662,1912,102,2
49900,2,1,832,,1905,109,1
150000,3,2,1486,5227,1923,91,1
299800,4,1.75,1742,6098,1932,82,1
179500,3,1.25,1248,5619,1905,109,4
294999,4,2,2176,5227,1895,119,1
309900,5,2.75,2480,7405,1949,65,1
359900,3,1.5,1806,5227,1935,79,2
112900,2,1,860,4791,1925,89,2
119900,3,1.5,1308,5227,1924,90,2
48000,2,1.25,933,,1921,93,2
159900,4,2,1915,5662,1951,63,1
429900,4,2,2460,9147,1954,60,3
514000,3,3.25,3542,12196,1890,124,6
144900,3,1,1536,9147,1954,60,1
199000,4,3,1981,,1916,98,0
549900,4,3.5,2852,6098,2013,1,2
344900,4,1.75,1532,5227,1924,90,1
189900,3,1,1398,6098,1952,62,1
424000,4,3,3142,9583,1976,38,4
137000,3,1.75,1326,5662,1958,56,1
129900,3,1,1800,8276,1957,57,2
99900,4,1.75,1828,5227,1918,96,4
279900,3,1.75,1336,5227,1924,90,2
174900,3,2.5,1623,7840,1957,57,1
149900,3,1.5,1406,5227,1959,55,1
144900,4,2,1400,7405,1954,60,1
179900,3,1,1064,5227,1962,52,1
169900,3,1.5,1943,10454,1953,61,1
89900,3,1,624,10454,1921,93,0
179000,4,2.25,1857,6098,1959,55,3
314900,3,1.75,1725,4791,1922,92,4
135500,3,1.75,1200,4356,1954,60,1
164900,4,2,2009,9147,1964,50,2
650000,4,2.75,3880,9147,1961,53,2
149900,3,1.75,1647,6534,1954,60,2
178900,3,1.75,1387,136778,1964,50,2
799000,5,3,3927,125452,1952,62,2
82500,5,1.5,1320,6534,1901,113,0
69900,3,1,1600,5227,1909,105,2
